0,1,2,3,4,5,6
198,0,7,1,1,0,4
0,84,0,0,0,0,0
10,1,243,0,6,0,1
0,0,0,531,0,2,35
0,0,8,1,293,0,6
3,0,0,6,0,310,5
2,0,1,38,5,5,371
