0,1,2,3,4,5,6
195,0,8,0,1,1,6
0,84,0,0,0,0,0
10,0,243,0,7,0,1
0,0,0,525,1,1,41
0,0,4,1,296,0,7
2,0,1,5,0,312,4
2,0,1,38,7,5,369
