0,1,2,3,4,5,6
190,0,15,0,1,1,4
0,84,0,0,0,0,0
7,0,248,0,5,0,1
0,0,0,530,0,5,33
0,0,6,0,295,0,7
2,0,0,6,0,309,7
2,0,1,40,5,2,372
