0,1,2,3,4,5,6
201,0,4,0,2,0,4
0,84,0,0,0,0,0
8,0,245,0,8,0,0
0,0,0,537,1,1,29
2,0,5,0,295,0,6
1,0,0,7,0,311,5
2,0,1,38,5,5,371
