0,1,2,3,4,5,6
173,0,29,0,3,0,6
0,84,0,0,0,0,0
12,1,241,0,7,0,0
0,0,0,502,0,8,58
0,0,5,2,297,0,4
3,0,0,3,0,309,9
2,0,2,33,7,6,372
